"TOA5","Vilm-3","CR1000","E7307","CR1000.Std.27","CPU:Vilm.CR1","8424","Sensors"
"TIMESTAMP","RECORD","DiffV_Avg(1)","DiffV_Avg(2)","DiffV_Avg(3)","DiffV_Avg(4)","DiffV_Avg(5)","DiffV_Avg(6)","DiffV_Avg(7)","DiffV_Avg(8)","DiffV_Avg(9)","FullBR_Avg(1)","FullBR_Avg(2)","FullBR_Avg(3)","FullBR_Avg(4)","FullBR_Avg(5)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV/V","mV/V","mV/V","mV/V","mV/V"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2014-10-22 14:00:00",32,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0.7444452,-1.48889,2.233335,1.48889
"2014-10-22 15:00:00",92,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0.7443934,0.7443934
"2014-11-17 14:00:00",175,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",1.488845,-0.7444227,0,-0.7444227
"2014-11-17 15:00:00",235,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,1.269579E-005,0.7444385,2.233303
"2014-12-12 14:00:00",322,-0.0004966959,"NAN","NAN",0.001158957,"NAN","NAN","NAN","NAN","NAN",3611.009,2483.873,2887.167,2099.961,2196.871
"2014-12-12 15:00:00",382,-0.0008278688,"NAN","NAN",0.001159016,"NAN","NAN","NAN","NAN","NAN",3611.995,2484.039,2886.614,2100.847,2198.509
"2014-12-12 16:00:00",442,-0.002317949,"NAN","NAN",0.002317949,"NAN","NAN","NAN","NAN","NAN",3611.803,2484.652,2889.443,2100.735,2197.646
"2014-12-12 17:00:00",502,-0.002648683,"NAN","NAN",0.00248314,"NAN","NAN","NAN","NAN","NAN",3608.404,2484.365,2888.363,2099.747,2196.647
"2014-12-12 18:00:00",562,-0.002979909,"NAN","NAN",0.002979909,"NAN","NAN","NAN","NAN","NAN",3612.877,2487.347,2891.345,2100.492,2197.392
"2014-12-12 19:00:00",622,-0.006952433,"NAN","NAN",0.003476216,"NAN","NAN","NAN","NAN","NAN",3609.15,2482.875,2887.618,2099.747,2197.392
"2014-12-12 20:00:00",682,-0.006290409,"NAN","NAN",0.003476279,"NAN","NAN","NAN","NAN","NAN",3605.946,2483.467,2888.185,2100.363,2194.275
"2014-12-12 21:00:00",742,-0.0006621335,"NAN","NAN",0.002979601,"NAN","NAN","NAN","NAN","NAN",3609.892,2482.127,2887.616,2099.745,2195.9
"2014-12-12 22:00:00",802,0.00231755,"NAN","NAN",0.007780347,"NAN","NAN","NAN","NAN","NAN",3606.943,2482.149,2887.642,2099.764,2195.92
"2014-12-12 23:00:00",862,0.002317905,"NAN","NAN",0.007615972,"NAN","NAN","NAN","NAN","NAN",3606.633,2482.449,2888.735,2100.763,2193.948
"2014-12-13 00:00:00",922,-0.0003311388,"NAN","NAN",0.008112899,"NAN","NAN","NAN","NAN","NAN",3605.286,2481.057,2889.597,2100.847,2194.781
"2014-12-13 01:00:00",982,-0.001821157,"NAN","NAN",0.00695351,"NAN","NAN","NAN","NAN","NAN",3604.551,2481.064,2886.623,2099.362,2194.787
"2014-12-13 02:00:00",1042,-0.002317815,"NAN","NAN",0.008940143,"NAN","NAN","NAN","NAN","NAN",3605.045,2481.404,2887.764,2100.395,2195.088
"2014-12-13 03:00:00",1102,-0.004139044,"NAN","NAN",0.01175489,"NAN","NAN","NAN","NAN","NAN",3605.439,2481.676,2888.825,2100.625,2195.328
"2014-12-13 04:00:00",1162,-0.004801828,"NAN","NAN",0.0142399,"NAN","NAN","NAN","NAN","NAN",3604.618,2481.624,2887.274,2099.836,2195.283
"2014-12-13 05:00:00",1222,-0.004967308,"NAN","NAN",0.01755115,"NAN","NAN","NAN","NAN","NAN",3603.88,2480.883,2886.534,2100.585,2194.541
"2014-12-13 06:00:00",1282,-0.004967112,"NAN","NAN",0.01672261,"NAN","NAN","NAN","NAN","NAN",3603.939,2481.669,2888.818,2101.365,2193.832
"2014-12-13 07:00:00",1342,-0.004967744,"NAN","NAN",0.01821506,"NAN","NAN","NAN","NAN","NAN",3604.873,2481.053,2885.241,2101.476,2194.692
"2014-12-13 08:00:00",1402,-0.004967405,"NAN","NAN",0.01688918,"NAN","NAN","NAN","NAN","NAN",3605.011,2481.894,2886.843,2100.81,2194.03
"2014-12-13 09:00:00",1462,-0.004967524,"NAN","NAN",0.01655841,"NAN","NAN","NAN","NAN","NAN",3605.763,2481.152,2886.102,2100.068,2194.78
"2014-12-13 10:00:00",1522,-0.004470878,"NAN","NAN",0.01755234,"NAN","NAN","NAN","NAN","NAN",3603.965,2480.941,2885.11,2100.635,2193.847
"2014-12-13 11:00:00",1582,-0.003146095,"NAN","NAN",0.01821424,"NAN","NAN","NAN","NAN","NAN",3603.269,2480.23,2883.659,2100.664,2193.878
"2014-12-13 12:00:00",1642,-0.003642609,"NAN","NAN",0.01672289,"NAN","NAN","NAN","NAN","NAN",3601.722,2480.192,2884.36,2099.886,2195.335
"2014-12-13 13:00:00",1702,-0.002980571,"NAN","NAN",0.01655873,"NAN","NAN","NAN","NAN","NAN",3601.57,2480.087,2884.239,2100.543,2193.751
"2014-12-13 14:00:00",1762,-0.002483552,"NAN","NAN",0.01589473,"NAN","NAN","NAN","NAN","NAN",3603.136,2479.393,2883.552,2100.586,2193.797
"2014-12-13 15:00:00",1822,-0.001655684,"NAN","NAN",0.01672241,"NAN","NAN","NAN","NAN","NAN",3601.652,2480.144,2883.558,2100.591,2193.801
"2014-12-13 16:00:00",1882,-0.0009934655,"NAN","NAN",0.01606103,"NAN","NAN","NAN","NAN","NAN",3602.329,2479.351,2883.503,2099.805,2193.759
"2014-12-13 17:00:00",1942,-0.002318197,"NAN","NAN",0.01457152,"NAN","NAN","NAN","NAN","NAN",3600.945,2477.933,2883.59,2099.868,2193.825
"2014-12-13 18:00:00",2002,-0.003808227,"NAN","NAN",0.01407388,"NAN","NAN","NAN","NAN","NAN",3601.287,2479.66,2883.863,2098.575,2192.542
"2014-12-13 19:00:00",2062,-0.003477131,"NAN","NAN",0.01258391,"NAN","NAN","NAN","NAN","NAN",3602.034,2477.424,2883.864,2100.068,2191.796
"2014-12-13 20:00:00",2122,-0.002649221,"NAN","NAN",0.01241822,"NAN","NAN","NAN","NAN","NAN",3603.525,2478.169,2883.864,2100.068,2192.542
"2014-12-13 21:00:00",2182,-0.003477013,"NAN","NAN",0.01076218,"NAN","NAN","NAN","NAN","NAN",3604.423,2479.02,2883.986,2099.41,2192.635
"2014-12-13 22:00:00",2242,-0.003477087,"NAN","NAN",0.01125914,"NAN","NAN","NAN","NAN","NAN",3603.753,2479.072,2884.792,2101.692,2194.173
"2014-12-13 23:00:00",2302,-0.003642812,"NAN","NAN",0.01109402,"NAN","NAN","NAN","NAN","NAN",3603.736,2479.06,2884.033,2099.445,2192.671
"2014-12-14 00:00:00",2362,-0.003145789,"NAN","NAN",0.01076191,"NAN","NAN","NAN","NAN","NAN",3603.359,2480.06,2884.328,2100.406,2192.895
"2014-12-14 01:00:00",2422,-0.003145863,"NAN","NAN",0.01009987,"NAN","NAN","NAN","NAN","NAN",3603.39,2480.081,2884.353,2098.932,2193.659
"2014-12-14 02:00:00",2482,-0.002980468,"NAN","NAN",0.01010047,"NAN","NAN","NAN","NAN","NAN",3604.882,2479.335,2885.844,2099.677,2193.659
"2014-12-14 03:00:00",2542,-0.0009934776,"NAN","NAN",0.01010036,"NAN","NAN","NAN","NAN","NAN",3604.882,2479.335,2884.353,2100.423,2193.659
"2014-12-14 04:00:00",2602,0.0003311475,"NAN","NAN",0.009106555,"NAN","NAN","NAN","NAN","NAN",3607.865,2481.573,2886.591,2100.423,2193.659
"2014-12-14 05:00:00",2662,0.0003311396,"NAN","NAN",0.009437479,"NAN","NAN","NAN","NAN","NAN",3605.627,2482.319,2886.591,2099.677,2194.405
"2014-12-14 06:00:00",2722,0.0006622976,"NAN","NAN",0.008775443,"NAN","NAN","NAN","NAN","NAN",3608.611,2481.573,2889.574,2100.423,2194.406
"2014-12-14 07:00:00",2782,0.0009934453,"NAN","NAN",0.007781988,"NAN","NAN","NAN","NAN","NAN",3609.357,2485.302,2889.574,2100.423,2197.389
"2014-12-14 08:00:00",2842,0.000993483,"NAN","NAN",0.006954381,"NAN","NAN","NAN","NAN","NAN",3607.119,2485.302,2886.591,2100.423,2196.643
"2014-12-14 09:00:00",2902,0.0009935834,"NAN","NAN",0.006955083,"NAN","NAN","NAN","NAN","NAN",3608.7,2483.125,2888.153,2101.221,2195.951
"2014-12-14 10:00:00",2962,0.001655855,"NAN","NAN",0.008279277,"NAN","NAN","NAN","NAN","NAN",3607.164,2484.587,2889.609,2100.449,2195.178
"2014-12-14 11:00:00",3022,0.002649431,"NAN","NAN",0.00827947,"NAN","NAN","NAN","NAN","NAN",3609.36,2483.066,2885.847,2098.933,2197.391
"2014-12-14 12:00:00",3082,0.002649353,"NAN","NAN",0.009603905,"NAN","NAN","NAN","NAN","NAN",3608.614,2483.813,2888.084,2097.442,2198.883
"2014-12-14 13:00:00",3142,0.002980272,"NAN","NAN",0.009437529,"NAN","NAN","NAN","NAN","NAN",3607.868,2481.575,2888.084,2101.171,2197.391
"2014-12-14 14:00:00",3202,0.002318062,"NAN","NAN",0.008775521,"NAN","NAN","NAN","NAN","NAN",3607.122,2483.066,2886.593,2099.679,2196.645
"2014-12-14 15:00:00",3262,0.0009934732,"NAN","NAN",0.009437995,"NAN","NAN","NAN","NAN","NAN",3608.614,2481.575,2886.593,2098.933,2196.645
"2014-12-14 16:00:00",3322,0,"NAN","NAN",0.01026555,"NAN","NAN","NAN","NAN","NAN",3607.122,2483.812,2886.593,2098.188,2198.137
"2014-12-14 17:00:00",3382,-0.0003311407,"NAN","NAN",0.01009979,"NAN","NAN","NAN","NAN","NAN",3607.868,2480.829,2888.084,2099.679,2195.153
"2014-12-14 18:00:00",3442,-0.002318096,"NAN","NAN",0.008113336,"NAN","NAN","NAN","NAN","NAN",3607.119,2481.573,2885.844,2100.423,2195.897
"2014-12-14 19:00:00",3502,-0.002980394,"NAN","NAN",0.01125926,"NAN","NAN","NAN","NAN","NAN",3605.627,2481.573,2885.844,2099.677,2195.897
"2014-12-14 20:00:00",3562,-0.003808347,"NAN","NAN",0.0117562,"NAN","NAN","NAN","NAN","NAN",3607.865,2480.081,2888.082,2101.169,2194.406
"2014-12-14 21:00:00",3622,-0.004304968,"NAN","NAN",0.01208703,"NAN","NAN","NAN","NAN","NAN",3607.119,2482.319,2887.336,2101.169,2193.659
"2014-12-14 22:00:00",3682,-0.004305001,"NAN","NAN",0.01407404,"NAN","NAN","NAN","NAN","NAN",3607.119,2483.064,2886.59,2101.169,2195.897
"2014-12-14 23:00:00",3742,-0.003973769,"NAN","NAN",0.01556393,"NAN","NAN","NAN","NAN","NAN",3607.119,2483.81,2885.844,2100.423,2198.135
"2014-12-15 00:00:00",3802,-0.003642626,"NAN","NAN",0.01539837,"NAN","NAN","NAN","NAN","NAN",3607.865,2481.573,2886.591,2099.677,2198.135
"2014-12-15 01:00:00",3862,-0.004139611,"NAN","NAN",0.01275,"NAN","NAN","NAN","NAN","NAN",3608.482,2482.976,2885.741,2101.84,2198.056
"2014-12-15 02:00:00",3922,-0.004636025,"NAN","NAN",0.01225235,"NAN","NAN","NAN","NAN","NAN",3608.608,2483.808,2887.333,2102.659,2195.149
"2014-12-15 03:00:00",3982,-0.004967186,"NAN","NAN",0.01142453,"NAN","NAN","NAN","NAN","NAN",3608.611,2483.81,2888.082,2101.915,2198.135
"2014-12-15 04:00:00",4042,-0.003642662,"NAN","NAN",0.01026568,"NAN","NAN","NAN","NAN","NAN",3607.119,2483.81,2886.591,2099.677,2198.881
"2014-12-15 05:00:00",4102,-0.002318061,"NAN","NAN",0.00976897,"NAN","NAN","NAN","NAN","NAN",3609.357,2484.556,2887.336,2100.423,2198.881
"2014-12-15 06:00:00",4162,-0.001655722,"NAN","NAN",0.009603187,"NAN","NAN","NAN","NAN","NAN",3608.611,2483.81,2886.591,2098.932,2198.135
